Tools	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555136	1	OK	0.1017091	0.4009812	0.8026043	0.4297624	177.212	137.656	-371.394	0.1853390	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555144	1	OK	0.1016322	0.4012002	0.8018276	0.4310240	177.546	138.086	-370.830	0.1864532	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555152	1	OK	0.1020770	0.4012843	0.8009404	0.4324877	177.791	138.103	-370.124	0.1862422	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555160	1	OK	0.1027515	0.4018356	0.8000651	0.4334353	178.110	137.972	-369.717	0.1887190	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555168	1	OK	0.1035226	0.4016564	0.7994209	0.4346049	178.737	137.977	-369.026	0.2000869	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555176	1	OK	0.1021266	0.4002668	0.8000755	0.4350124	178.990	137.909	-370.345	0.2235696	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555184	1	OK	0.1030866	0.3994979	0.7994771	0.4365901	179.903	138.224	-369.660	0.1989133	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555192	1	OK	0.1043186	0.3989388	0.7993298	0.4370781	180.862	138.381	-368.898	0.1983698	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555200	1	OK	0.1053490	0.3985191	0.7983217	0.4390518	181.705	138.681	-368.382	0.1683658	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555208	1	OK	0.1067847	0.3978264	0.7975114	0.4408024	182.524	138.793	-367.488	0.2089327	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555216	1	OK	0.1079608	0.3968363	0.7962963	0.4435963	183.224	139.086	-366.557	0.2378481	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555224	1	Partially Out of Volume	0.1088395	0.3961231	0.7949541	0.4464173	183.915	139.434	-365.809	0.2285201	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555232	1	Partially Out of Volume	0.1097957	0.3960652	0.7939770	0.4479707	184.751	139.781	-365.052	0.2165261	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555240	1	Partially Out of Volume	0.1138466	0.3949431	0.7915161	0.4522844	186.157	141.094	-361.626	0.2009092	0
1	Port 12: NDI-MF2 610066   T6d0-S00113  s/n:37B31C00 Channel:0	555248	1	Partially Out of Volume	0.1116905	0.3941722	0.7914699	0.4535736	186.139	140.730	-363.556	0.1901434	0
