Tools	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	Frame	Face	State	Q0	Qx	Qy	Qz	Tx	Ty	Tz	Error	Markers
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276152	1	OK	0.6780578	0.5664882	0.3389097	-0.3232166	-14.900	-10.749	-394.860	0.0676610	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276160	1	OK	0.6786590	0.5653876	0.3406391	-0.3220617	-15.424	-10.666	-395.083	0.0502118	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276168	1	OK	0.6787175	0.5660582	0.3416180	-0.3197154	-15.936	-10.174	-395.244	0.0740317	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276176	1	OK	0.6731422	0.5619313	0.3485471	-0.3311007	-15.697	-11.036	-396.182	0.1524662	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276184	1	OK	0.6780381	0.5677580	0.3379223	-0.3220618	-15.461	-10.970	-396.057	0.0699387	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276192	1	OK	0.6784594	0.5671725	0.3394835	-0.3205607	-15.769	-10.725	-395.922	0.0781981	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276200	1	OK	0.6787547	0.5665484	0.3411833	-0.3192317	-16.157	-10.493	-395.923	0.0742802	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276208	1	OK	0.6791940	0.5659037	0.3427342	-0.3177762	-16.472	-10.302	-395.835	0.0744018	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276216	1	OK	0.6796090	0.5654768	0.3442157	-0.3160430	-16.717	-10.029	-395.802	0.0760491	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276224	1	OK	0.6800153	0.5652081	0.3455758	-0.3141599	-16.993	-9.761	-395.823	0.0793064	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276232	1	OK	0.6862517	0.5690789	0.3412620	-0.2979061	-16.805	-9.148	-395.794	0.1090197	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276240	1	OK	0.6876911	0.5690527	0.3415706	-0.2942611	-16.607	-9.063	-395.790	0.0896950	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276248	1	OK	0.6891237	0.5689212	0.3421846	-0.2904255	-16.203	-8.790	-395.733	0.1014425	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276256	1	OK	0.6854271	0.5599672	0.3587584	-0.2965112	-14.188	-7.596	-395.703	0.0604486	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276264	1	OK	0.6872118	0.5595404	0.3596302	-0.2920970	-13.699	-7.784	-396.674	0.0843317	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276272	1	OK	0.6873020	0.5587820	0.3618474	-0.2905942	-13.557	-7.683	-397.157	0.0677589	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276280	1	OK	0.6882335	0.5584360	0.3628186	-0.2878307	-14.018	-7.438	-397.045	0.0908151	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276288	1	OK	0.6888900	0.5586178	0.3635648	-0.2849516	-14.921	-7.113	-397.308	0.0879436	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276296	1	OK	0.6889261	0.5563117	0.3668658	-0.2851448	-15.756	-7.208	-397.935	0.0455075	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276304	1	OK	0.6908173	0.5558970	0.3666975	-0.2815723	-16.425	-7.327	-398.711	0.0952337	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276312	1	OK	0.6912313	0.5562859	0.3676984	-0.2784658	-17.410	-6.581	-398.680	0.1261916	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276320	1	OK	0.6947169	0.5623648	0.3581232	-0.2699296	-16.074	-6.788	-397.702	0.2872658	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276328	1	OK	0.6948189	0.5618416	0.3604090	-0.2677052	-16.641	-6.472	-398.235	0.3341309	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276336	1	OK	0.6958131	0.5616640	0.3615565	-0.2639215	-17.037	-6.186	-398.933	0.3361551	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276344	1	OK	0.6921604	0.5530579	0.3781454	-0.2684158	-19.362	-4.654	-401.939	0.0736069	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276352	1	OK	0.6940029	0.5531390	0.3788639	-0.2624107	-18.978	-4.129	-402.165	0.1035318	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276360	1	OK	0.6953555	0.5510025	0.3815481	-0.2594188	-18.494	-4.009	-402.591	0.1096143	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276368	1	OK	0.6961585	0.5493243	0.3848482	-0.2559259	-17.567	-3.250	-401.902	0.0891406	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276376	1	OK	0.6980022	0.5475721	0.3872766	-0.2509472	-16.391	-2.320	-400.101	0.1102991	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276384	1	OK	0.6996244	0.5451770	0.3903108	-0.2469112	-15.182	-1.212	-398.580	0.0683011	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276392	1	OK	0.7019407	0.5436399	0.3914756	-0.2418300	-14.182	-0.732	-397.687	0.0728976	0
1	Port 11: NDI-MF2 610016  s/n:385D600A Channel:0	276400	1	OK	0.7035300	0.5436796	0.3919690	-0.2362591	-13.429	0.228	-396.680	0.1303497	0
